"","source","target","flagBL","weight","generation"
"321",2,998,FALSE,0.380501328804399,1
"322",2,999,FALSE,0.359800275283734,1
"323",2,1000,TRUE,0.333702598576393,1
"324",2,1001,FALSE,0.271342670809062,1
"325",2,1002,TRUE,0.6580859921127,1
"326",2,1003,TRUE,0.247188404638702,1
"327",2,1004,TRUE,0.241242559991206,1
"328",2,1005,FALSE,0.234305645141311,1
"329",2,1006,FALSE,0.380903915160297,1
"330",2,1007,TRUE,0.367812083291387,1
"331",2,1008,FALSE,0.291277346866364,1
"332",2,492,TRUE,0.43818877470644,1
"333",2,1009,FALSE,0.369804963717581,1
"334",2,1010,FALSE,0.35645183718149,1
"335",2,1011,FALSE,0.279599366636846,1
"336",2,1012,FALSE,0.281395077975552,1
"337",2,1013,FALSE,0.254038085023365,1
"338",2,1014,TRUE,0.433055632060414,1
"339",2,308,TRUE,0.471199339971037,1
"340",2,1015,FALSE,0.327176936694376,1
"341",2,1016,FALSE,0.36103797676048,1
"342",2,1017,FALSE,0.302986779835114,1
"343",2,392,FALSE,0.495448217071504,1
"344",2,43,FALSE,0.538844044326504,1
"345",2,1018,TRUE,0.287685970131497,1
"346",2,1019,FALSE,0.140017957092024,1
"347",2,1020,TRUE,0.1852885467668,1
"348",2,1021,TRUE,0.210333842591366,1
"349",2,1022,TRUE,0.691766134865409,1
"350",2,1023,FALSE,0.339116923369937,1
"351",2,1024,FALSE,0.434818706627663,1
"352",2,255,FALSE,0.444216231267569,1
"353",2,359,TRUE,0.395218733990196,1
"354",2,663,FALSE,0.399570717580605,1
"355",2,1025,TRUE,0.514708029200474,1
"356",2,1026,TRUE,0.277278617227583,1
"357",2,1027,TRUE,0.532469956345312,1
"358",2,1028,FALSE,0.491972543188175,1
"359",2,37,TRUE,0.441994394077144,1
"360",2,1029,FALSE,0.640666924481121,1
"361",2,811,TRUE,0.45648680138562,1
"362",2,1030,FALSE,0.275868017292697,1
"363",2,7,TRUE,0.456101623253175,1
"364",2,440,TRUE,0.564926528642277,1
"365",2,854,TRUE,0.458808335586512,1
"366",2,1031,TRUE,0.275755633461188,1
